X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.945004999,45.827618999,735,Kestenovac-Drage - istok   ,129,smjer Dedići,
15.9448570000001,45.8276339990001,736,Kestenovac-Drage - zapad   ,129,smjer Mandaličina,
15.85734,45.7979769990001,737,King Cross - zapad,116,smjer Ljubljanica,
15.8579110000001,45.797673999,738,King Cross - istok,116,smjer  Podsused,
15.883968001,45.7316569990001,739,Klanjec - istok        ,132,smjer Savski most,
15.8834630000001,45.7323669990001,740,Klanjec - zapad             ,132,smjer Brezovica,
16.063201,45.8294539990001,741,Klin - istok               ,210,smjer Koledinečka ulica,
16.064312,45.832343999,742,Klin - Koledinečka - istok   ,223,smjer Dubec,
16.063367,45.8319969990001,743,Klin - Koledinečka - sjever   ,"210,223",smjer Dankovečka ulica,
16.0635790000001,45.831486999,744,Klin - Koledinečka - zapad    ,214,smjer Čulinečka cesta,
15.945723,45.7889449990001,745,Knežija - istok            ,109,smjer Črnomerec,
15.9464370000001,45.7873059990001,746,Knežija - zapad           ,109,smjer Novi Zagreb,
16.15957,45.822369999,747,Kobiljak 69 - sjever        ,269,smjer prema gradu,
16.1615660000001,45.8214119990001,748,Kobiljak 96  - jug       ,269,smjer okretište Sesvetski Kraljevec ,
16.152653,45.8240269990001,749,Kobiljak - trgovina - jug ,269,smjer okretište Sesvetski Kraljevec ,
16.1511760000001,45.8244079990001,750,Kobiljak - trgovina - sjever  ,269,smjer prema gradu,
16.0481300000001,45.838403999,751,Kolakova - Grižanska - jug  ,210,smjer Čulinečka cesta,
16.046746,45.8377179990001,752,Kolakova - Grižanska - sjever,210,smjer terminal  Dubrava ,
16.047516,45.837748999,753,Kolakova - Grižanska - zapad,206,smjer terminal  Dubrava ,
16.02531,45.808573999,754,Kolareva - jug          ,215,smjer Trnava,
16.025765,45.808508999,755,Kolareva - sjever          ,215,smjer Kvaternikov trg,
16.0574759990001,45.8319279990001,756,Koledinečka - jug       ,"214,223",smjer Ulica Klin,
16.0573439990001,45.832074999,757,Koledinečka - sjever        ,"210,223",smjer Dankovečka,
16.061380001,45.8319019990001,758,Koledinečka-škola - jug ,214,smjer Čulinečka cesta,
15.7835000000001,45.700387999,759,Komari - ulaz\izlaz linija 164          ,164,okretište Komari,
16.023783,45.7969259990001,760,Končar - jug             ,"107,216,222,237,276,281",smjer Žitnjak,
16.0233940000001,45.7971849990001,761,Končar - sjever             ,"107,216,222,237,276,281",smjer av. Marina Držića,
15.9535700000001,45.8165089990001,762,Kosirnikova - istok        ,141,smjer okretište Vinogradi ,
15.9534650000001,45.8164569990001,763,Kosirnikova - zapad       ,141,smjer Reljkovićeva,
15.9539790000001,45.816810999,764,Kosirnikova 12 - istok      ,139,smjer Jelenovac,
15.953943,45.8170459990001,765,Kosirnikova 9 - zapad      ,139,smjer Reljkovićeva,
15.9544530000001,45.8185339990001,766,Kosirnikova - Jelenov. - istok,139,smjer Jelenovac,
15.9543800000001,45.8188549990001,767,Kosirnikova - Jelenov. - zapad,139,smjer Reljkovićeva,
15.9562540000001,45.8217779990001,768,Kosirnikova - SRC Jel - zapad,139,smjer Reljkovićeva,
16.0023630000001,45.8395139990001,769,Kostanjevec - istok        ,203,smjer Krematorij,
16.0017730000001,45.8400139990001,770,Kostanjevec - zapad        ,203,smjer Svetice,
15.9180150010001,45.8226959990001,771,Kotoripska - istok         ,135,smjer okretište  Graberje,
15.9179600000001,45.8225829990001,772,Kotoripska - zapad         ,135,smjer Črnomerec,
15.8591680000001,45.807152999,773,Kovinska - istok,116,smjer  Podsused,
15.8583330000001,45.8054699990001,774,Kovinska - zapad         ,116,smjer Ljubljanica,
16.043572,45.798279999,775,Kozari Bok - jug        ,"107,214,216,222,276,281",smjer Žitnjak,
16.043142,45.798309999,776,Kozari Bok - sjever        ,"107,214,216,222,276",smjer Heinzelova,
16.0449980010001,45.7986599990001,777,Kozari Bok - ulaz\izlaz linija 225          ,225,okretište Kozari Bok,
16.0431400000001,45.7919649990001,778,Kozari put 1 - odv. 5 - jug ,237,smjer okretište Kozari Putevi,
16.041881,45.791504999,779,Kozari put 1 - odv. 5 - sjever ,237,smjer Kvaternikov trg,
16.0470550000001,45.792720999,780,Kozari Putevi - ulaz\izlaz linija 237       ,237,okretište Kozari Putevi,
15.9060680000001,45.811385999,781,Kožinčev put - jug      ,"119,136,146",smjer Črnomerec,
15.905249,45.811539999,782,Kožinčev put - sjever       ,"119,136,146",smjer Jankomir\Podsused,
15.998364001,45.8313929990001,783,Kozjak -  ulaz\izlaz linija 202 i 238           ,"202,238",okretište Kozjak,
15.8711440000001,45.664407999,784,Kralj. Brijegi - Lojeni - istok,161,smjer Savski most,
15.8709010000001,45.664094999,785,Kralj. Brijegi - Lojeni - zapad,161,smjer Štrpet,
15.871434,45.6601739990001,786,Kralj. Brijegi - Starjak - istok,161,smjer Savski most,
15.871317,45.660068999,787,Kralj. Brijegi - Starjak - zapad,161,smjer Štrpet,
15.9689010000001,45.8306059990001,788,Kraljevec - ulaz\izlaz linija 103,103,okretište Kraljevec,
15.880043001,45.6842809990001,789,Kraljevečka cesta - istok,"161,162",smjer Savski most,
